time,verified,comments,retweets,likes,followers
5760,0,54,72,2000,81000
2,1,3,7,32,81000
120,1,47,156,460,81000
60,0,2,563,2000,82000
360,1,11,1000,3000,82000
420,1,13,1000,3000,82000
480,1,61,141,2000,83000
660,1,21,92,780,83000
2,1,1,35,162,85000
60,1,141,2000,16000,85000
480,1,45,633,1000,85000
960,1,237,106,178,85000
2880,1,340,2000,7000,85000
300,0,62,1000,3000,86000
1380,0,20,460,1000,86000
120,1,93,65,650,86000
4320,1,16,206,687,86000
180,0,8,261,1000,87000
300,0,284,447,2000,87000
840,0,28,4000,13000,87000
1260,1,348,404,2000,87000
8640,1,23,142,2000,87000
360,1,69,1000,9000,88000
60,0,25,553,2000,89000
47,1,8,140,715,89000
2880,1,84,4000,5000,90000
3,0,1,51,104,92000
540,0,27,896,4000,92000
2,1,1,10,48,92000
120,1,32,140,2000,93000
180,0,38,377,894,94000
360,0,5,256,627,94000
360,0,126,5000,12000,94000
420,0,5,260,645,94000
420,0,138,6000,13000,94000
360,1,3,125,113,94000
420,1,108,2000,7000,95000
3,1,4,26,103,96000
420,1,151,35,106,96000
1380,1,52,595,2000,96000
2880,1,174,18,223,97000
1,1,3,0,0,98000
480,1,926,213,737,98000
180,0,24,3000,4000,99000
420,0,37,3000,6000,99000
120,1,7,50,32,99000
180,1,27,186,595,100000
240,1,60,1000,2000,100000
300,1,31,243,753,100000
120,0,7,294,1000,103000
120,0,46,355,912,103000
900,0,0,0,0,103000
180,1,232,239,735,103000
240,1,270,263,824,103000
2880,1,5,31,154,104000
9,1,2,10,71,105000
26,1,21,12,102,105000
180,0,27,909,3000,108000
300,0,23,2000,6000,108000
60,1,274,278,211,109000
120,1,345,358,271,109000
720,1,47,178,2000,109000
900,0,25,146,2000,111000
960,0,26,170,2000,111000
900,1,2,204,531,113000
1200,0,143,3000,31000,114000
60,1,172,152,431,114000
5760,1,34,149,2000,115000
28,1,58,29,611,118000
2880,1,119,2000,2000,118000
240,0,13,599,2000,119000
120,1,3,115,123,121000
2880,1,52,201,1000,121000
7,1,20,91,412,122000
58,1,6,60,417,122000
120,1,9,33,365,122000
240,1,5,40,53,122000
34,1,41,136,2000,123000
60,1,19,402,2000,123000
2880,1,9,3000,6000,123000
55,1,11,134,668,124000
59,1,11,134,671,124000
900,1,432,861,2000,124000
960,1,2,182,35,124000
960,1,2,185,36,124000
39,1,12,115,364,125000
2880,1,242,2000,14000,125000
1440,0,703,3000,11000,126000
22,1,8,207,942,126000
60,1,19,120,536,126000
120,1,21,154,665,126000
1320,1,1,30,104,128000
5760,1,171,11,152,128000
5760,1,150,577,3000,128000
4320,1,114,919,5000,129000
120,0,29,70,107,130000
43,1,5,66,158,130000
60,1,4,16,49,130000
180,1,2,73,67,130000
180,1,147,476,703,130000
180,1,148,479,705,130000
540,1,5,113,131,130000
360,0,69,720,2000,131000
360,0,72,761,2000,131000
180,1,16,34,319,131000
35,0,4,173,498,132000
2,1,5,51,122,133000
120,1,7,23,123,133000
120,1,8,24,138,133000
120,1,188,138,1000,134000
2,1,15,13,79,135000
60,1,26,66,128,135000
360,1,69,51,122,136000
660,1,126,1000,4000,136000
840,1,2,392,103,136000
960,1,2,419,109,136000
960,1,280,444,702,136000
240,1,255,2000,7000,137000
420,1,73,62,153,137000
180,1,1,68,55,139000
480,1,108,2000,8000,139000
2880,1,50,270,2000,139000
1080,0,62,671,2000,141000
1080,0,62,672,2000,141000
46,1,1,33,40,142000
240,1,7,129,760,142000
60,0,20,963,3000,143000
8,1,11,44,62,144000
15,1,8,34,195,144000
24,1,24,85,134,144000
35,1,49,388,1000,144000
42,1,27,79,163,144000
59,1,49,460,1000,144000
60,1,35,109,216,144000
8640,1,34,920,2000,144000
2,1,4,16,32,146000
30,1,16,78,101,150000
360,1,4,64,178,150000
900,0,9,4000,6000,152000
34,1,7,49,218,152000
17,1,23,107,960,153000
1440,0,239,2000,9000,154000
53,1,37,116,679,154000
180,1,265,4000,9000,155000
8640,1,117,215,4000,156000
21,1,60,409,4000,157000
780,1,7,32,257,157000
120,1,16,215,395,159000
180,1,89,70,159,159000
480,1,26,258,231,159000
600,1,28,294,264,159000
300,1,50,81,641,160000
19,1,7,63,150,161000
960,0,137,1000,4000,162000
2880,0,5,98,364,162000
540,1,16,268,544,162000
780,0,81,564,9000,163000
14,0,103,154,1000,165000
180,0,333,549,3000,165000
60,1,15,73,286,165000
4320,1,5,17,286,165000
4320,1,5,17,287,165000
3,1,5,15,37,166000
34,1,26,258,928,166000
37,1,15,122,349,166000
56,1,34,365,1000,166000
18,1,8,41,207,168000
120,1,10,60,546,168000
2880,1,26,55,619,168000
2880,0,110,3000,26000,169000
2880,0,111,3000,26000,169000
30,1,4,51,50,172000
120,1,182,3000,2000,175000
540,1,89,50,173,175000
26,1,5,27,159,176000
60,1,57,23,49,176000
180,1,10,141,415,176000
120,1,12,138,563,177000
120,1,12,139,568,177000
180,1,12,156,621,177000
420,0,17,2000,7000,178000
660,0,17,350,2000,178000
2880,1,161,3000,11000,178000
7,1,0,0,0,179000
300,1,7,168,127,179000
840,1,14,89,503,179000
25,0,2,988,3000,180000
45,0,4,1000,5000,180000
60,0,0,0,0,180000
60,0,5,2000,6000,180000
120,1,6,19,289,180000
240,1,10,336,505,180000
5,0,18,73,339,181000
14,0,19,94,430,181000
25,0,45,285,1000,181000
120,0,53,385,2000,181000
240,1,7,75,613,181000
120,1,21,42,72,182000
120,1,4,109,401,186000
2,1,2,37,139,187000
1440,1,163,332,1000,190000
60,1,67,107,544,191000
33,1,60,429,749,194000
600,1,51,846,608,194000
60,1,51,596,4000,195000
60,1,51,614,4000,195000
18,1,12,23,96,196000
180,1,8,171,735,197000
1440,1,4,239,872,197000
1440,1,4,250,885,197000
13,0,2,62,54,198000
60,0,66,703,1000,199000
5,1,51,31,192,199000
120,1,105,92,252,199000
240,1,75,391,846,203000
300,1,85,433,929,203000
120,1,114,31,30,204000
300,1,17,103,115,204000
1320,1,27,164,352,205000
60,1,18,140,796,207000
420,1,59,343,2000,207000
2880,1,1000,23000,74000,207000
23,1,33,91,537,208000
60,1,37,111,751,208000
1,0,0,0,0,209000
24,1,10,23,44,209000
2880,1,39,717,2000,210000
3,1,2,16,56,211000
60,1,0,0,0,213000
60,1,7,72,193,213000
180,1,119,162,526,214000
900,1,1,761,3000,214000
4320,1,35,1000,6000,214000
9,0,0,0,0,216000
26,1,156,448,1000,216000
4320,1,14,146,1000,216000
240,1,69,61,108,217000
5,1,6,97,132,220000
4,1,4,64,109,221000
240,1,7,23,91,226000
4,1,1,42,79,227000
120,1,7,105,232,227000
59,1,115,997,4000,228000
4320,0,146,1000,8000,229000
180,1,315,5000,14000,229000
5760,1,147,1000,8000,229000
300,1,7,34,823,230000
1380,1,351,5000,12000,230000
1440,1,363,5000,12000,230000
19,1,57,138,650,231000
27,1,11,27,95,231000
120,1,65,1000,3000,231000
60,0,899,4000,5000,232000
180,0,953,5000,5000,232000
180,0,960,5000,6000,232000
3,1,6,89,340,232000
35,1,42,527,4000,232000
39,1,46,575,4000,232000
240,1,63,663,708,233000
780,1,111,288,577,233000
7,1,0,0,0,234000
180,1,123,49,132,234000
2880,1,197,390,794,234000
3,1,1,14,10,236000
34,1,4,10,107,236000
120,1,159,379,2000,236000
120,1,29,661,634,236000
420,1,31,355,444,242000
480,1,33,377,471,242000
11,1,46,180,1000,243000
45,1,1,121,394,243000
8640,0,492,3000,17000,245000
8640,0,1000,4000,12000,245000
34,1,46,1000,4000,245000
26,1,2,21,64,248000
18,1,7,23,77,251000
7,1,454,586,3000,252000
1320,1,13,99,99,253000
